,target_carbon_monoxide(t-3),target_benzene(t-3),target_nitrogen_oxides(t-3),target_carbon_monoxide(t-2),target_benzene(t-2),target_nitrogen_oxides(t-2),target_carbon_monoxide(t-1),target_benzene(t-1),target_nitrogen_oxides(t-1)
3,0.5484063688689461,0.3712645047787725,0.47085414813547743,0.2127577792159163,0.0572500102525765,-0.29763353757530076,0.29666992662917385,-0.047421487922822345,0.01735705453289607
4,0.2127577792159163,0.0572500102525765,-0.29763353757530076,0.29666992662917385,-0.047421487922822345,0.01735705453289607,0.29666992662917385,0.02734386791674814,0.5769680000868204
5,0.29666992662917385,-0.047421487922822345,0.01735705453289607,0.29666992662917385,0.02734386791674814,0.5769680000868204,-0.2907151052636287,-0.4661074806244169,-0.041843304976800486
6,0.29666992662917385,0.02734386791674814,0.5769680000868204,-0.2907151052636287,-0.4661074806244169,-0.041843304976800486,-0.5424515475034012,-0.7651689039826989,-0.41826823242524863
7,-0.2907151052636287,-0.4661074806244169,-0.041843304976800486,-0.5424515475034012,-0.7651689039826989,-0.41826823242524863,-0.5424515475034012,-0.8698404021580975,-0.7377267761945546
8,-0.5424515475034012,-0.7651689039826989,-0.41826823242524863,-0.5424515475034012,-0.8698404021580975,-0.7377267761945546,-0.7102758423299161,-0.9146996156618398,-0.6885793079223538
9,-0.5424515475034012,-0.8698404021580975,-0.7377267761945546,-0.7102758423299161,-0.9146996156618398,-0.6885793079223538,-0.7941879897431736,-1.094136469676809,-0.8840521930958801
10,-0.7102758423299161,-0.9146996156618398,-0.6885793079223538,-0.7941879897431736,-1.094136469676809,-0.8840521930958801,-1.0459244319829462,-1.1838548966842937,-0.9220297822153082
11,-0.7941879897431736,-1.094136469676809,-0.8840521930958801,-1.0459244319829462,-1.1838548966842937,-0.9220297822153082,-0.9620122845696887,-1.2137610390201217,-1.167767123576313
12,-1.0459244319829462,-1.1838548966842937,-0.9220297822153082,-0.9620122845696887,-1.2137610390201217,-1.167767123576313,-0.9620122845696887,-1.2735733236917781,-1.2202655555943458
