,target_carbon_monoxide(t-3),sensor_1(t-3),sensor_2(t-3),sensor_5(t-3),target_benzene(t-3),target_nitrogen_oxides(t-3),target_carbon_monoxide(t-2),sensor_1(t-2),sensor_2(t-2),sensor_5(t-2),target_benzene(t-2),target_nitrogen_oxides(t-2),target_carbon_monoxide(t-1),sensor_1(t-1),sensor_2(t-1),sensor_5(t-1),target_benzene(t-1),target_nitrogen_oxides(t-1)
3,0.5484063688689461,1.579573849520389,0.6619645328954359,1.0545391995711288,0.3712645047787725,0.47085414813547743,0.2127577792159163,1.0359711948038575,-0.11389094514623506,0.22305065544154606,0.0572500102525765,-0.29763353757530076,0.29666992662917385,1.3014866450261786,0.04703298667202734,0.5353371493606566,-0.047421487922822345,0.01735705453289607
4,0.2127577792159163,1.0359711948038575,-0.11389094514623506,0.22305065544154606,0.0572500102525765,-0.29763353757530076,0.29666992662917385,1.3014866450261786,0.04703298667202734,0.5353371493606566,-0.047421487922822345,0.01735705453289607,0.29666992662917385,1.246673796400737,0.04470075577611041,0.9656508667119663,0.02734386791674814,0.5769680000868204
5,0.29666992662917385,1.3014866450261786,0.04703298667202734,0.5353371493606566,-0.047421487922822345,0.01735705453289607,0.29666992662917385,1.246673796400737,0.04470075577611041,0.9656508667119663,0.02734386791674814,0.5769680000868204,-0.2907151052636287,1.0002674126716897,-0.25188127315464853,0.5800756480182484,-0.4661074806244169,-0.041843304976800486
6,0.29666992662917385,1.246673796400737,0.04470075577611041,0.9656508667119663,0.02734386791674814,0.5769680000868204,-0.2907151052636287,1.0002674126716897,-0.25188127315464853,0.5800756480182484,-0.4661074806244169,-0.041843304976800486,-0.5424515475034012,0.7433007553542552,-0.8551516648984734,0.04085900630306417,-0.7651689039826989,-0.41826823242524863
7,-0.2907151052636287,1.0002674126716897,-0.25188127315464853,0.5800756480182484,-0.4661074806244169,-0.041843304976800486,-0.5424515475034012,0.7433007553542552,-0.8551516648984734,0.04085900630306417,-0.7651689039826989,-0.41826823242524863,-0.5424515475034012,0.8604695051682714,-0.9647665170065653,-0.48717301074772196,-0.8698404021580975,-0.7377267761945546
8,-0.5424515475034012,0.7433007553542552,-0.8551516648984734,0.04085900630306417,-0.7651689039826989,-0.41826823242524863,-0.5424515475034012,0.8604695051682714,-0.9647665170065653,-0.48717301074772196,-0.8698404021580975,-0.7377267761945546,-0.7102758423299161,0.5446670378583905,-1.1109196531506875,-0.6467010783293977,-0.9146996156618398,-0.6885793079223538
9,-0.5424515475034012,0.8604695051682714,-0.9647665170065653,-0.48717301074772196,-0.8698404021580975,-0.7377267761945546,-0.7102758423299161,0.5446670378583905,-1.1109196531506875,-0.6467010783293977,-0.9146996156618398,-0.6885793079223538,-0.7941879897431736,0.4350413406075073,-1.2228667361546963,-0.8180024350314921,-1.094136469676809,-0.8840521930958801
10,-0.7102758423299161,0.5446670378583905,-1.1109196531506875,-0.6467010783293977,-0.9146996156618398,-0.6885793079223538,-0.7941879897431736,0.4350413406075073,-1.2228667361546963,-0.8180024350314921,-1.094136469676809,-0.8840521930958801,-1.0459244319829462,-0.21567266050552716,-1.5384953174021097,-1.307182597984896,-1.1838548966842937,-0.9220297822153082
11,-0.7941879897431736,0.4350413406075073,-1.2228667361546963,-0.8180024350314921,-1.094136469676809,-0.8840521930958801,-1.0459244319829462,-0.21567266050552716,-1.5384953174021097,-1.307182597984896,-1.1838548966842937,-0.9220297822153082,-0.9620122845696887,-0.566676039776701,-1.6613261445870637,-1.4820159414231162,-1.2137610390201217,-1.167767123576313
12,-1.0459244319829462,-0.21567266050552716,-1.5384953174021097,-1.307182597984896,-1.1838548966842937,-0.9220297822153082,-0.9620122845696887,-0.566676039776701,-1.6613261445870637,-1.4820159414231162,-1.2137610390201217,-1.167767123576313,-0.9620122845696887,0.232384661744638,-1.5365517916555123,-1.448167735201912,-1.2735733236917781,-1.2202655555943458
