,target_carbon_monoxide(t)
3,0.29666992662917385
4,-0.2907151052636287
5,-0.5424515475034012
6,-0.5424515475034012
7,-0.7102758423299161
8,-0.7941879897431736
9,-1.0459244319829462
10,-0.9620122845696887
11,-0.9620122845696887
12,-0.9620122845696887
13,-0.6263636949166587
14,0.04493348438940115
15,0.2127577792159163
16,-0.12289081043711379
17,-0.20680295785037117
18,-0.20680295785037117
19,0.1288456318026587
20,0.8001428111087184
21,0.29666992662917385
22,0.38058207404243105
23,0.8001428111087184
24,2.394473611960611
25,4.492277297292048
26,3.5692436757462156
27,1.723176432654551
28,-0.2907151052636287
29,-0.6263636949166587
30,-0.12289081043711379
31,-0.038978663023856226
32,-0.3746272526768863
33,-0.8781001371564311
34,-1.1298365793962035
35,-1.0459244319829462
36,-0.8781001371564311
37,-0.2907151052636287
38,2.3105614645473533
39,2.058825022307581
40,1.051879253348491
41,0.8001428111087184
42,0.2127577792159163
43,0.7162306636954613
44,0.8001428111087184
45,0.884054958521976
46,0.884054958521976
47,0.5484063688689461
48,1.6392642852412933
49,1.4714399904147786
50,4.156628707639018
51,2.1427371697208386
52,1.4714399904147786
53,3.233595086093186
54,0.884054958521976
55,0.04493348438940115
56,-0.2907151052636287
57,-0.038978663023856226
58,-0.20680295785037117
59,-0.7102758423299161
60,-0.45853940009014366
61,-0.2907151052636287
62,0.6323185162822037
63,1.5553521378280362
64,1.219703548175006
65,1.6392642852412933
66,1.6392642852412933
67,0.884054958521976
68,0.1288456318026587
69,0.1288456318026587
70,0.38058207404243105
71,0.38058207404243105
72,0.9679671059352336
73,1.9749128748943237
74,1.8070885800678085
75,1.723176432654551
76,0.9679671059352336
77,0.7162306636954613
78,0.8001428111087184
79,0.7162306636954613
80,0.6323185162822037
81,0.38058207404243105
82,-0.45853940009014366
83,-0.5424515475034012
84,-0.7102758423299161
85,-0.7941879897431736
86,-0.3746272526768863
87,-0.2907151052636287
88,0.38058207404243105
89,0.8001428111087184
90,0.6323185162822037
91,0.1288456318026587
92,-0.12289081043711379
93,-0.038978663023856226
94,0.9679671059352336
95,0.8001428111087184
96,0.6323185162822037
97,2.1427371697208386
98,3.317507233506443
99,1.387527843001521
100,0.1288456318026587
101,0.38058207404243105
102,-0.12289081043711379
103,-0.038978663023856226
104,-0.038978663023856226
105,-0.5424515475034012
106,-0.7102758423299161
107,-0.7102758423299161
108,-0.3746272526768863
109,0.2127577792159163
110,2.9818586438534136
111,4.995750181771593
112,3.5692436757462156
113,1.8910007274810656
114,0.9679671059352336
115,0.8001428111087184
116,0.8001428111087184
