,anomaly,anomaly_category
28905,0.19693946226664205,inlier
34862,0.11466186462557937,inlier
32740,0.16166210997539326,inlier
45780,0.20133966641934004,inlier
21826,0.15120149867468885,inlier
20267,0.15932666996102096,inlier
44778,0.12337285346483734,inlier
18448,0.1478891902110504,inlier
6683,0.14876121136539533,inlier
51318,0.1618278051719786,inlier
21321,0.04245663492187379,inlier
30335,0.1344584360130877,inlier
12962,0.14533019239572398,inlier
4889,0.16593749156155146,inlier
54530,0.19237435367114974,inlier
2640,0.12413078562281632,inlier
48674,0.08250734549826488,inlier
50370,0.19862158417035086,inlier
40351,0.17622994285230104,inlier
38739,0.17964605070122835,inlier
39389,0.1246155279549176,inlier
21438,0.09941597851035133,inlier
27197,0.15014273064039246,inlier
48726,0.12904940248050834,inlier
38612,0.17110199216524247,inlier
8514,0.18018041363079773,inlier
18665,0.11665515821403416,inlier
36860,0.08933677625465919,inlier
31615,0.19751308043235655,inlier
2970,0.11853979696992079,inlier
13441,0.13325562667578877,inlier
49207,0.16494168001790832,inlier
10249,0.20323282587037445,inlier
39079,0.12080184858574777,inlier
6503,0.09101743003334584,inlier
16311,0.14229213016668213,inlier
40186,0.09947889434902801,inlier
29691,0.003816793158547549,inlier
41905,0.08173693605933474,inlier
50065,0.18015197294586033,inlier
1439,0.0801153661081514,inlier
9493,0.16592522445011304,inlier
9307,0.19326476114489533,inlier
28997,0.20270265069377985,inlier
51636,0.05318182823094475,inlier
35658,0.05740947933187934,inlier
13924,0.141753071300583,inlier
19229,0.14826750628690605,inlier
50801,0.12232713243647797,inlier
4607,0.18547054809213476,inlier
27991,0.2022538450462134,inlier
46160,0.11625616892160262,inlier
3380,0.20421043080455342,inlier
55936,0.17029059423543863,inlier
1027,0.11414191878974267,inlier
18073,0.13447694168478974,inlier
37465,0.14930226321715961,inlier
41990,0.1808723981676189,inlier
52298,0.14557176468976235,inlier
5761,0.18066279819207587,inlier
33871,0.15778182367917482,inlier
15689,0.1993319997586953,inlier
44377,0.14038099514541047,inlier
11567,0.20106920306449866,inlier
9373,0.17587898063928858,inlier
1394,0.15272136498736033,inlier
25780,0.06856229304617512,inlier
25839,0.016380792699870916,inlier
31717,0.06094775402325703,inlier
33779,0.022651487650320545,inlier
347,0.013791414730841778,inlier
40646,0.03830890022449007,inlier
13244,0.1901381468569323,inlier
29837,0.059685579607643535,inlier
56017,0.1662270352672926,inlier
16281,0.10048731841356306,inlier
4275,0.13970650996135764,inlier
29485,0.13862310563223074,inlier
46654,0.12180500684065648,inlier
45217,0.12568669555373163,inlier
775,0.11603676177348288,inlier
25175,0.1269164222680137,inlier
53998,0.1350464022469709,inlier
37698,0.1525287548500069,inlier
42569,0.165715729143258,inlier
40905,0.0962754370061355,inlier
54686,0.21068923113495125,inlier
6313,0.18876861467717104,inlier
6823,0.17499277345040098,inlier
21471,0.17293288083728708,inlier
14610,0.2086744405137957,inlier
56477,0.2050529786437172,inlier
18613,0.15352393399323833,inlier
57364,0.17339720540747133,inlier
7429,0.05496287102822439,inlier
21845,0.20131439451046906,inlier
37876,0.11469348171461491,inlier
16133,0.18022909006557108,inlier
14476,0.07585952425631959,inlier
25621,0.15274499472730563,inlier
20462,0.18694299937355546,inlier
40752,0.07816680455672986,inlier
13665,0.13108929352515986,inlier
8701,0.054784182057612485,inlier
42098,0.22057319430240924,inlier
36137,0.13351042974041377,inlier
57124,0.2152935804038138,inlier
33929,0.16225703521693502,inlier
897,0.1568835564082201,inlier
13676,0.19954318757118772,inlier
12996,0.17280924500338096,inlier
5837,0.20761370126183165,inlier
31140,0.19232554168852528,inlier
6279,0.05510581354168331,inlier
16600,0.18986316980510792,inlier
34580,0.105706111934047,inlier
51304,0.07333605824983758,inlier
53982,0.1969502698414905,inlier
23046,0.1766173090154876,inlier
37603,0.09873246209235376,inlier
52586,0.17614197949873733,inlier
56970,0.10858447409742555,inlier
51509,0.11339925232211556,inlier
31806,0.037379801455049155,inlier
17336,0.16430392912291325,inlier
25410,0.14071515951393193,inlier
12505,0.2170747207559029,inlier
35770,0.11260463191388281,inlier
42948,0.2008955811621479,inlier
17151,0.16819061054914336,inlier
46314,0.0927702297771571,inlier
51073,0.1472820108457512,inlier
41351,0.13322200053011213,inlier
44896,0.18739387238735455,inlier
8970,0.17240017445169792,inlier
17622,0.14250953090092844,inlier
3940,0.18170645854342515,inlier
10302,0.16233037423800056,inlier
153,0.09705122222397267,inlier
50641,0.1805385595693047,inlier
49577,0.18356745386438938,inlier
45329,0.2127674766007024,inlier
36725,0.1229374077401143,inlier
46032,0.12294257060425284,inlier
42240,0.21114232916749326,inlier
40640,0.09531654020069935,inlier
5578,0.07717222002788193,inlier
42458,0.005625622207579228,inlier
2680,0.0993237736422341,inlier
25638,0.17839076794699277,inlier
18178,0.1473988037617011,inlier
2024,0.2096437434344574,inlier
34662,0.10112415478955661,inlier
53220,0.11942101567929275,inlier
54434,0.19301222034925586,inlier
36628,0.08575918304244845,inlier
328,0.1623699912835293,inlier
7194,0.17006900973375771,inlier
14178,0.1586624687761144,inlier
39873,0.14438597015854537,inlier
5189,0.02356831082894817,inlier
22261,0.1245021852146182,inlier
6153,0.20411635569565956,inlier
42176,0.13895660320193426,inlier
30172,0.1407917118081386,inlier
34010,0.15394585493811302,inlier
16589,0.10818845782221043,inlier
12373,0.07260257843365125,inlier
29589,0.1874162238474691,inlier
48403,0.14717656904284815,inlier
55646,0.1823903654294472,inlier
53638,0.09655258821233859,inlier
36484,0.04310339168664279,inlier
5488,0.07779788781774422,inlier
6055,0.1817314126653891,inlier
10508,0.1537243955205409,inlier
29875,0.17470949307943023,inlier
47687,0.11117394982309103,inlier
4901,0.19267744758587496,inlier
21542,0.14444737490791776,inlier
40989,0.10067676757388333,inlier
42128,0.10770724619133654,inlier
6023,0.11336855774476184,inlier
36384,0.07880722081433844,inlier
22241,0.17307531273381893,inlier
24240,0.19747045994011164,inlier
46168,0.056559491253928895,inlier
34624,0.17458298696960417,inlier
23483,0.20927488958710244,inlier
25008,0.1461052216830499,inlier
35341,0.17340307546480138,inlier
13674,0.11498473055617064,inlier
17534,0.1247753033349055,inlier
22319,0.1985182862469385,inlier
46462,0.13375121630654846,inlier
36372,0.16660742068209788,inlier
789,0.21161315924079332,inlier
52589,0.15236524821027347,inlier
46906,0.20119288942169256,inlier
3214,0.18507561341387174,inlier
20678,0.05506325045407667,inlier
14399,0.18129175063570652,inlier
35154,0.16687024300715914,inlier
58366,0.15602174725009227,inlier
13402,0.15228959934078157,inlier
16364,0.1242718715738449,inlier
31209,0.19927302480606124,inlier
44754,0.06907295665346902,inlier
56196,0.12759365088505614,inlier
26628,0.1783175911773785,inlier
55716,0.11425251689053528,inlier
7141,0.17524340451749992,inlier
23905,0.08463746841950703,inlier
13336,0.11479806915612267,inlier
14926,0.20335933675970475,inlier
33651,0.16549484479690818,inlier
42770,0.173336436707125,inlier
30685,0.09493342698546048,inlier
30382,0.12527945040378352,inlier
36366,0.18617466362191165,inlier
9063,0.20116434028040836,inlier
39122,0.19466809368985666,inlier
2140,0.13276096520427422,inlier
17438,0.03217511587583999,inlier
21802,0.154773152479648,inlier
54144,0.07747159892375033,inlier
50356,0.16593805493431374,inlier
55836,0.17093361654585643,inlier
11071,0.2080310602692434,inlier
13887,0.1801587619692715,inlier
46797,0.179084627873905,inlier
27041,0.15857767176260795,inlier
37760,0.062142489334375606,inlier
36654,0.19043173683763387,inlier
18727,0.17975385780989594,inlier
39564,0.19264135809876826,inlier
51045,0.20038408710849887,inlier
48876,0.21120678077770566,inlier
29877,0.06116924536838819,inlier
28239,0.1282893714581102,inlier
28922,0.12541446681468427,inlier
38436,0.19056718075230605,inlier
50136,-0.020195345222354222,outlier
41222,0.18104274312668078,inlier
7247,0.1527279271557439,inlier
30498,0.16247375129464697,inlier
56801,0.15014876429862345,inlier
38320,0.16778222755555267,inlier
36581,0.1707650232586959,inlier
29291,0.16236298648854286,inlier
7556,0.136130800615209,inlier
24278,0.12481552808067281,inlier
30268,0.20148870645691896,inlier
34228,0.09845176688811308,inlier
36182,0.1648886108582867,inlier
10443,0.1934354919579152,inlier
54883,0.07030092107609265,inlier
53584,0.018667416599769004,inlier
9776,0.052248432965479874,inlier
37559,0.1618619802636686,inlier
22293,0.14425470998791268,inlier
30255,0.15001197310620185,inlier
24969,0.13935654420354243,inlier
15383,0.19486687550058673,inlier
49287,0.11319030167117405,inlier
19849,0.12989680997413527,inlier
13865,0.14585299011839759,inlier
57286,0.15893383643447445,inlier
10250,0.18259471892356433,inlier
37623,0.2107438212888742,inlier
30486,0.18004306352893162,inlier
16846,0.20552651093539692,inlier
5562,0.1986087130394376,inlier
26427,0.16675727243726718,inlier
10729,0.16139453167707157,inlier
35397,0.10877576300874281,inlier
19154,0.1922356185329474,inlier
7001,0.05636999644671592,inlier
702,0.17081116165859178,inlier
30589,0.18966197249487532,inlier
34095,0.12282642651881615,inlier
40399,0.18840492041612578,inlier
52995,0.05994150303401524,inlier
57524,0.19415066513431117,inlier
26650,0.14254039554494924,inlier
1035,0.13258144274269063,inlier
37605,0.12414824832490085,inlier
23957,0.17822674965344443,inlier
42969,0.09026169710086929,inlier
14682,0.15697595306488782,inlier
56306,0.001990154997388527,inlier
50448,0.14583767533291803,inlier
55786,0.18978320683546612,inlier
39673,0.09740405744224157,inlier
190,0.17157839787141188,inlier
5378,0.12053623734076718,inlier
32173,0.15721762601880557,inlier
28082,0.17985566493177152,inlier
47039,0.15356654296459776,inlier
13362,0.17218759288218016,inlier
51449,0.1821447031498331,inlier
26947,0.09355261879211352,inlier
55664,0.08264011429352514,inlier
26043,0.13274035868412154,inlier
30354,0.1693170837045006,inlier
13650,0.21846915034535747,inlier
49726,0.139749862737866,inlier
56137,0.10519875284632518,inlier
40947,0.18278530980616536,inlier
5105,0.1915685346106507,inlier
10570,0.011060295672212894,inlier
3999,0.07387130777274442,inlier
54312,0.14238347101890192,inlier
14595,0.16318768406853285,inlier
1208,0.10253755632747219,inlier
21125,0.13570792795748104,inlier
44331,0.1539252409095842,inlier
48953,0.11287872564278656,inlier
52050,0.1785231765468847,inlier
52920,0.1044475532117376,inlier
15164,0.18100839015504377,inlier
53728,0.17058239011373755,inlier
46208,0.19292520255786116,inlier
58149,0.09231374367273382,inlier
30254,0.15464885287378188,inlier
18116,0.189398335894725,inlier
18562,0.1831951094534653,inlier
8855,0.1905096795445087,inlier
34848,0.08449305119851946,inlier
29782,0.1907954207564348,inlier
1740,0.12378907190260868,inlier
1978,0.21219366309013565,inlier
52744,0.20846525906401853,inlier
6074,0.011247371966470188,inlier
13142,0.18990617051789382,inlier
41033,0.09321433989862904,inlier
9866,0.0868233310972889,inlier
20360,0.09685917109412812,inlier
20081,0.11074955550352461,inlier
55016,0.026090085930966733,inlier
57779,0.12363384462673044,inlier
15970,0.1659789233449428,inlier
28368,0.172031268566258,inlier
4753,0.18279560992107619,inlier
20072,0.17314107767008002,inlier
50010,0.11439097519788577,inlier
21157,0.20301211618654058,inlier
36106,0.18823779606534752,inlier
10740,0.20713484285294004,inlier
47935,0.18956485431283182,inlier
34182,0.1425673429626575,inlier
2267,0.16879031026847197,inlier
23176,0.20308960093048323,inlier
57636,0.1597412744684787,inlier
52375,0.16250368694417583,inlier
44511,0.19315544651472888,inlier
24578,0.15818507002961657,inlier
40963,0.18743215844080235,inlier
30108,0.15490909156276866,inlier
8228,0.18958832134546905,inlier
1853,0.05072131430383542,inlier
14410,0.20539778191295976,inlier
55326,0.1617712684224742,inlier
23225,0.17988372263689423,inlier
21344,0.0898065793108267,inlier
28179,0.1169526306402025,inlier
39885,0.19936380594414815,inlier
15186,0.035619388008370945,inlier
11239,0.16659992488081,inlier
37978,0.07752460015283469,inlier
42319,0.16735547456454042,inlier
4776,0.09602340139864096,inlier
2568,0.16659286002736384,inlier
41492,0.10277116059558145,inlier
17055,0.139766469968571,inlier
48946,0.102919613690587,inlier
57053,0.1154811033797013,inlier
46604,0.07001795877311279,inlier
25595,0.20295409608781528,inlier
3938,0.13707185775577058,inlier
36322,0.08986050548671276,inlier
33730,0.11533407908637994,inlier
30619,0.1808110563131421,inlier
19871,0.12610263638415803,inlier
35590,0.11894755226736275,inlier
54281,0.2160274304125886,inlier
44863,0.07151728896333542,inlier
55276,0.11469092281394244,inlier
55255,0.07572927875971536,inlier
51254,0.15835374432361138,inlier
1254,0.16559834123935963,inlier
56211,0.12668267053532012,inlier
25511,0.08658678999447522,inlier
49970,0.15259007546906767,inlier
2802,0.1228608609978622,inlier
40825,0.10977726549228795,inlier
21658,0.12278276158708212,inlier
28645,0.07075174439884713,inlier
29252,0.1858011009026881,inlier
3756,0.19252769899028138,inlier
32243,0.082448338504581,inlier
26745,0.15845358156023776,inlier
45699,0.15776863344289677,inlier
25319,0.1780774773340254,inlier
33265,0.19441726711702306,inlier
41924,0.13249841748758756,inlier
17575,0.08174651363639251,inlier
38039,0.17072529760383304,inlier
5786,0.18003584395607147,inlier
19425,0.18823613961462826,inlier
14386,0.03826768875659203,inlier
47420,0.21692728089056384,inlier
744,0.047804023714486,inlier
33658,0.1696260077989707,inlier
45301,0.08597141645004447,inlier
35324,0.1558550859699025,inlier
41944,0.19771085657825055,inlier
45091,0.18480771393392859,inlier
30775,0.14996961895558358,inlier
5340,0.08836241917934151,inlier
11044,0.15257042346735739,inlier
53547,0.19311295426458885,inlier
8417,0.20623985410576318,inlier
30076,0.18128918402587957,inlier
39590,0.17296030424993664,inlier
51534,0.104423935119203,inlier
8942,0.1036447457467442,inlier
36317,0.08368954060970302,inlier
53858,0.07034511008211186,inlier
39104,0.10185729380960706,inlier
9047,0.17798439436414665,inlier
28194,0.1929926082456228,inlier
37083,0.20576244388278614,inlier
4948,0.1822173547645834,inlier
30139,0.1927788849994576,inlier
27176,0.178781173399566,inlier
39124,0.11788054641956153,inlier
44600,0.02753389578325216,inlier
53917,0.1928515463596096,inlier
56364,0.07208924138316819,inlier
529,0.06807794696107394,inlier
4829,0.16000300361654912,inlier
39949,0.19796605215250757,inlier
23830,0.21162166881765793,inlier
33255,0.2032368133709317,inlier
17283,0.20120601461569132,inlier
14797,0.11845083823723251,inlier
13618,0.1654120333831125,inlier
12033,0.1309831798152023,inlier
34119,0.14932109905892893,inlier
45742,0.16531278679973604,inlier
46149,0.13570364042575345,inlier
561,0.09769959193996813,inlier
27541,0.16560991765528538,inlier
19979,0.19478719286155233,inlier
44734,0.13294458056846287,inlier
40602,0.10866817300636111,inlier
20757,0.1796650248442725,inlier
24698,0.19636630208859496,inlier
52719,0.1600818618876712,inlier
