Feature,Bin,Count,Count (%),Sum,Std,Mean,Min,Max,Zeros count,WoE,IV,Non-event,Event,Event rate,JS
loan_grade,['A'],20984.0,0.35783227038641247,,,,,,,1.1661065906787682,0.318472608432005,19952.0,1032.0,0.04918032786885246,0.0376965543895441
loan_grade,['B'],20398.0,0.34783943248866,,,,,,,0.37605021286497164,0.04291349541670495,18311.0,2087.0,0.10231395234826944,0.005332801654374494
loan_grade,['C'],11036.0,0.18819276286620512,,,,,,,0.05852188918374823,0.0006311355600626689,9542.0,1494.0,0.13537513591881117,7.888068901690292e-05
loan_grade,['D' 'F' 'E' 'G'],6224.0,0.10613553425872242,,,,,,,-2.2022604766892044,0.8765186857685503,2488.0,3736.0,0.6002570694087404,0.0917017694845351
loan_grade,,58642.0,1.0,,,,,,,,1.238535925177323,50293.0,8349.0,0.14237236110637427,0.13481000621747058
person_home_ownership,['OWN'],3138.0,0.053511135363732476,,,,,,,2.4806189382255925,0.1398797746951505,3095.0,43.0,0.013702995538559592,0.014044868488019384
person_home_ownership,['MORTGAGE'],24821.0,0.42326319020497255,,,,,,,0.9610091229656477,0.2753813125520933,23339.0,1482.0,0.05970750574110632,0.03315634833641327
person_home_ownership,['OTHER' 'RENT'],30683.0,0.523225674431295,,,,,,,-0.5440084367458113,0.18656409123648082,23859.0,6824.0,0.22240328520679203,0.023037133912872695
person_home_ownership,,58642.0,1.0,,,,,,,,0.6018251784837246,50293.0,8349.0,0.14237236110637427,0.07023835073730535
cb_person_default_on_file,['N'],49941.0,0.8516251151052147,,,,,,,0.24379371938618632,0.04634650550510227,44192.0,5749.0,0.115115836687291,0.005779008698919293
cb_person_default_on_file,['Y'],8701.0,0.1483748848947853,,,,,,,-0.9427828840572622,0.17922812874789693,6101.0,2600.0,0.2988162280197678,0.02160900717771718
cb_person_default_on_file,,58642.0,1.0,,,,,,,,0.2255746342529992,50293.0,8349.0,0.14237236110637427,0.027388015876636473
loan_intent,['VENTURE'],10010.0,0.17069677023293886,,,,,,,0.4841067276764486,0.03354428591019963,9081.0,929.0,0.09280719280719281,0.004152564711401775
loan_intent,['EDUCATION'],12271.0,0.2092527539988404,,,,,,,0.31837825526225183,0.01889954981384816,10949.0,1322.0,0.10773368103659034,0.0023525161725404323
loan_intent,['PERSONAL'],10015.0,0.17078203335493333,,,,,,,0.0806943262598645,0.0010802979562617187,8685.0,1330.0,0.1328007988017973,0.00013500061874661615
loan_intent,['HOMEIMPROVEMENT'],6280.0,0.10709048122506054,,,,,,,-0.23627783766487243,0.006497390093955181,5189.0,1091.0,0.17372611464968152,0.0008102897945124147
loan_intent,['MEDICAL'],10933.0,0.18643634255311892,,,,,,,-0.26697081618436225,0.014594830785884371,8985.0,1948.0,0.1781761639074362,0.0018189552516860979
loan_intent,['DEBTCONSOLIDATION'],9133.0,0.15574161863510794,,,,,,,-0.3412469431894438,0.020431602087835395,7404.0,1729.0,0.18931347859410927,0.0025416300418142045
loan_intent,,58642.0,1.0,,,,,,,,0.09504795664798446,50293.0,8349.0,0.14237236110637427,0.01181095659070154
