,reservationId,arrivalDate,lengthOfStay,reservationScore,upgradeType,cost,Room_Number
0,934543356,20240203,12,46.8068683800695,1,92.07903095737997,972
1,949170546,20240209,21,116.55663766585448,1,628.4367766691931,462
2,403375053,20240212,9,108.96550588042496,5,895.4706693667566,266
3,899344453,20240211,4,169.48556730542288,5,809.1911402208322,314
4,157637350,20240206,11,140.37120816458147,10,358.2311216579272,785
5,707488348,20240209,5,193.11845090646995,5,631.4986371057092,374
6,356279846,20240204,14,70.38453147105415,1,179.77085957641415,952
7,791426810,20240212,17,129.3755690440824,1,894.1484692643675,284
8,625312900,20240213,23,196.70120503807374,10,982.6341176931878,251
9,728440644,20240209,10,136.4603848593986,5,630.1808876855633,375
10,232640497,20240207,1,65.86582213517507,5,460.82457093580393,492
11,296036829,20240213,15,42.605252526805025,1,988.9702625312242,248
12,175776734,20240209,19,50.841901902511246,10,627.3201127297824,488
13,450272188,20240209,13,46.48145433766263,10,627.3262619636236,478
14,267436355,20240210,17,56.63250801755496,5,715.4805605375307,365
15,743909277,20240207,9,118.94664805199932,10,447.7471208886361,691
16,935493446,20240207,15,97.86168843893157,10,446.88662895717425,748
17,423199473,20240204,22,181.31365875599224,1,180.15744525859625,935
18,893194984,20240207,5,163.4699427706574,5,448.65301545403645,573
19,962856124,20240212,15,108.7481467916856,10,894.1872198070056,286
